num	glyph	G0-source	description
315	沉	G0-3341	GB/T 2312—1980，19—33
316	陈	G0-3342	GB/T 2312—1980，19—34
317	趁	G0-3343	GB/T 2312—1980，19—35
318	衬	G0-3344	GB/T 2312—1980，19—36
319	撑	G0-3345	GB/T 2312—1980，19—37
320	称	G0-3346	GB/T 2312—1980，19—38
321	城	G0-3347	GB/T 2312—1980，19—39
322	橙	G0-3348	GB/T 2312—1980，19—40
323	成	G0-3349	GB/T 2312—1980，19—41
324	呈	G0-334A	GB/T 2312—1980，19—42
325	乘	G0-334B	GB/T 2312—1980，19—43
326	程	G0-334C	GB/T 2312—1980，19—44
327	惩	G0-334D	GB/T 2312—1980，19—45
328	澄	G0-334E	GB/T 2312—1980，19—46
329	诚	G0-334F	GB/T 2312—1980，19—47
330	承	G0-3350	GB/T 2312—1980，19—48
331	逞	G0-3351	GB/T 2312—1980，19—49
332	骋	G0-3352	GB/T 2312—1980，19—50
333	秤	G0-3353	GB/T 2312—1980，19—51
334	吃	G0-3354	GB/T 2312—1980，19—52
335	痴	G0-3355	GB/T 2312—1980，19—53
336	持	G0-3356	GB/T 2312—1980，19—54
337	匙	G0-3357	GB/T 2312—1980，19—55
338	池	G0-3358	GB/T 2312—1980，19—56
339	迟	G0-3359	GB/T 2312—1980，19—57
340	弛	G0-335A	GB/T 2312—1980，19—58
341	驰	G0-335B	GB/T 2312—1980，19—59
342	耻	G0-335C	GB/T 2312—1980，19—60
343	齿	G0-335D	GB/T 2312—1980，19—61
344	侈	G0-335E	GB/T 2312—1980，19—62
345	尺	G0-335F	GB/T 2312—1980，19—63
346	赤	G0-3360	GB/T 2312—1980，19—64
347	翅	G0-3361	GB/T 2312—1980，19—65
348	斥	G0-3362	GB/T 2312—1980，19—66
349	炽	G0-3363	GB/T 2312—1980，19—67
350	充	G0-3364	GB/T 2312—1980，19—68
351	冲	G0-3365	GB/T 2312—1980，19—69
352	虫	G0-3366	GB/T 2312—1980，19—70
353	崇	G0-3367	GB/T 2312—1980，19—71
354	宠	G0-3368	GB/T 2312—1980，19—72
355	抽	G0-3369	GB/T 2312—1980，19—73
356	酬	G0-336A	GB/T 2312—1980，19—74
357	畴	G0-336B	GB/T 2312—1980，19—75
358	踌	G0-336C	GB/T 2312—1980，19—76
359	稠	G0-336D	GB/T 2312—1980，19—77
360	愁	G0-336E	GB/T 2312—1980，19—78
361	筹	G0-336F	GB/T 2312—1980，19—79
362	仇	G0-3370	GB/T 2312—1980，19—80
363	绸	G0-3371	GB/T 2312—1980，19—81
364	瞅	G0-3372	GB/T 2312—1980，19—82
365	丑	G0-3373	GB/T 2312—1980，19—83
366	臭	G0-3374	GB/T 2312—1980，19—84
367	初	G0-3375	GB/T 2312—1980，19—85
368	出	G0-3376	GB/T 2312—1980，19—86
369	橱	G0-3377	GB/T 2312—1980，19—87
370	厨	G0-3378	GB/T 2312—1980，19—88
371	躇	G0-3379	GB/T 2312—1980，19—89
372	锄	G0-337A	GB/T 2312—1980，19—90
373	雏	G0-337B	GB/T 2312—1980，19—91
374	滁	G0-337C	GB/T 2312—1980，19—92
375	除	G0-337D	GB/T 2312—1980，19—93
376	楚	G0-337E	GB/T 2312—1980，19—94
377	础	G0-3421	GB/T 2312—1980，20—01
378	储	G0-3422	GB/T 2312—1980，20—02
379	矗	G0-3423	GB/T 2312—1980，20—03
380	搐	G0-3424	GB/T 2312—1980，20—04
381	触	G0-3425	GB/T 2312—1980，20—05
382	处	G0-3426	GB/T 2312—1980，20—06
383	揣	G0-3427	GB/T 2312—1980，20—07
384	川	G0-3428	GB/T 2312—1980，20—08
385	穿	G0-3429	GB/T 2312—1980，20—09
386	椽	G0-342A	GB/T 2312—1980，20—10
387	传	G0-342B	GB/T 2312—1980，20—11
388	船	G0-342C	GB/T 2312—1980，20—12
389	喘	G0-342D	GB/T 2312—1980，20—13
390	串	G0-342E	GB/T 2312—1980，20—14
391	疮	G0-342F	GB/T 2312—1980，20—15
392	窗	G0-3430	GB/T 2312—1980，20—16
393	幢	G0-3431	GB/T 2312—1980，20—17
394	床	G0-3432	GB/T 2312—1980，20—18
395	闯	G0-3433	GB/T 2312—1980，20—19
396	创	G0-3434	GB/T 2312—1980，20—20
397	吹	G0-3435	GB/T 2312—1980，20—21
398	炊	G0-3436	GB/T 2312—1980，20—22
399	捶	G0-3437	GB/T 2312—1980，20—23
400	锤	G0-3438	GB/T 2312—1980，20—24
401	垂	G0-3439	GB/T 2312—1980，20—25
402	春	G0-343A	GB/T 2312—1980，20—26
403	椿	G0-343B	GB/T 2312—1980，20—27
404	醇	G0-343C	GB/T 2312—1980，20—28
405	唇	G0-343D	GB/T 2312—1980，20—29
406	淳	G0-343E	GB/T 2312—1980，20—30
407	纯	G0-343F	GB/T 2312—1980，20—31
408	蠢	G0-3440	GB/T 2312—1980，20—32
409	戳	G0-3441	GB/T 2312—1980，20—33
410	绰	G0-3442	GB/T 2312—1980，20—34
411	疵	G0-3443	GB/T 2312—1980，20—35
412	茨	G0-3444	GB/T 2312—1980，20—36
413	磁	G0-3445	GB/T 2312—1980，20—37
414	雌	G0-3446	GB/T 2312—1980，20—38
415	辞	G0-3447	GB/T 2312—1980，20—39
416	慈	G0-3448	GB/T 2312—1980，20—40
417	瓷	G0-3449	GB/T 2312—1980，20—41
418	词	G0-344A	GB/T 2312—1980，20—42
419	此	G0-344B	GB/T 2312—1980，20—43
420	刺	G0-344C	GB/T 2312—1980，20—44
421	赐	G0-344D	GB/T 2312—1980，20—45
422	次	G0-344E	GB/T 2312—1980，20—46
423	聪	G0-344F	GB/T 2312—1980，20—47
424	葱	G0-3450	GB/T 2312—1980，20—48
425	囱	G0-3451	GB/T 2312—1980，20—49
